"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",166,9.7
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals",12,8.6
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",21,10.7
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",35,7.9
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","*","*"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",72,11.9
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",184,16.3
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",14,10.0
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","*","*"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",86,10.5
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3319,15.3
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",528,13.2
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",10,4.3
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",35,11.7
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals","*","*"
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",16,8.0
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",29,7.1
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",26,5.5
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",37,7.0
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","*","*"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",27,7.7
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",53,13.1
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",499,8.5
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals","*","*"
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","*","*"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",125,13.5
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",19,16.0
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",9,5.0
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",25,9.0
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",666,14.1
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",162,10.4
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",34,7.3
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",63,12.6
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",44,16.7
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",241,11.0
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",74,7.2
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",22,4.6
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",20,3.3
