"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",203,12.5
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",13,6.6
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",55,17.0
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",54,11.8
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",169,15.4
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",13,13.3
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",70,10.2
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3598,17.5
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",512,14.5
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",11,6.6
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",21,8.4
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals",9,7.4
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",11,8.3
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",21,6.5
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",30,9.0
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",42,9.5
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","*","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",65,19.0
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",47,16.0
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",767,14.8
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals","*","*"
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","*","*"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",107,14.0
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",20,11.4
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",22,9.4
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",1175,23.8
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",253,16.4
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",18,5.6
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",96,20.2
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",38,15.8
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",265,13.7
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",75,7.5
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",36,9.4
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",28,5.1
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",7,3.8
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",111,8.8
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",110,16.7
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",245,13.0
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",17,6.7
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",459,19.6
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",3524,17.9
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","*","*"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",179,15.4
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",19,10.3
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",26,6.5
