"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible for Free or Reduced-Price Meals",51,13.0
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",41,30.4
"Park City Prep Charter School District","=""2830013""","Eligible for Free or Reduced-Price Meals",45,18.2
"Bridgeport Achievement First District","=""2850013""","Eligible for Free or Reduced-Price Meals",263,32.4
"Highville Charter School District","=""2860013""","Eligible for Free or Reduced-Price Meals",18,6.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible for Free or Reduced-Price Meals",265,28.9
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",74,14.2
"Brass City Charter School District","=""2900013""","Eligible for Free or Reduced-Price Meals",6,5.9
"Elm City Montessori School District","=""2910013""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Path Academy District","=""2930013""","Eligible for Free or Reduced-Price Meals",44,41.1
"Great Oaks Charter School District","=""2940013""","Eligible for Free or Reduced-Price Meals",50,47.6
"Booker T. Washington Academy District","=""2950013""","Eligible for Free or Reduced-Price Meals",12,15.4
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",58,25.2
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",943,17.2
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",213,19.5
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",117,42.4
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",9,32.1
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",146,8.4
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals",14,9.9
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",19,8.5
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",47,10.5
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","*","*"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",85,14.1
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",167,14.9
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",24,17.0
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","*","*"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",72,9.1
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3322,15.7
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",547,13.8
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",18,8.0
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",19,6.7
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals",8,6.1
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",9,4.6
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",33,8.0
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","*","*"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",36,7.8
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",47,9.2
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","*","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals",8,9.3
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","*","*"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",31,8.7
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",56,13.5
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",744,11.6
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals","*","*"
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","*","*"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",149,16.4
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",10,8.9
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",11,5.8
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",19,7.0
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",887,17.8
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",122,7.6
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",43,9.6
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",53,10.8
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",41,15.1
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",261,12.4
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",56,5.5
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",26,5.5
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",38,6.1
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",18,8.7
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",64,4.5
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",81,10.3
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",264,12.3
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",14,4.2
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",337,13.6
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",3218,18.0
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","*","*"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",137,11.7
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",9,4.3
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",57,9.8
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals","*","*"
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",9,6.6
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",7,4.3
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",423,11.6
"Mansfield School District","=""0780011""","Eligible for Free or Reduced-Price Meals",13,4.0
"Marlborough School District","=""0790011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",703,12.4
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",294,12.4
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",148,10.7
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",16,5.5
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",71,7.9
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",241,11.3
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",1397,16.2
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",19,6.9
"New Hartford School District","=""0920011""","Eligible for Free or Reduced-Price Meals","*","*"
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",1339,10.7
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",104,10.6
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",561,21.8
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",87,9.1
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",29,7.8
