"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible for Free or Reduced-Price Meals",99,29.6
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",91,18.0
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",218,13.7
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",312,25.6
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",11,6.8
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",43,18.1
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",61,13.9
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",204,18.5
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",12,14.8
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",73,10.3
"Bridgeport Achievement First District","=""2850013""","Eligible for Free or Reduced-Price Meals",25,17.4
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3464,17.1
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",418,12.2
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",7,4.3
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",15,6.6
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals",9,9.1
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",6,6.8
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",312,19.9
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",24,7.7
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",28,9.7
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",50,12.5
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals","*","*"
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",13,14.3
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",1272,28.2
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",38,14.7
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",57,17.5
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",58,17.6
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",616,13.9
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals",6,9.2
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",156,20.8
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",10,6.1
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",19,9.5
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",1182,23.3
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",209,14.4
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",18,6.7
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",82,19.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",15,27.3
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"EdAdvance","=""2420014""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",25,11.0
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",71,18.7
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",245,12.9
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","*","*"
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",81,8.3
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",44,12.1
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",35,6.6
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",7,4.8
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",82,7.1
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",103,15.5
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",205,11.6
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",14,5.5
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",412,19.1
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",4408,22.0
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Highville Charter School District","=""2860013""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Integrated Day Charter School District","=""2640013""","Eligible for Free or Reduced-Price Meals","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible for Free or Reduced-Price Meals",24,18.3
"Jumoke Academy District","=""2610013""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",177,15.6
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",15,3.0
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",19,9.2
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",42,9.7
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals","*","*"
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",13,10.4
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",11,8.9
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",557,16.2
"Mansfield School District","=""0780011""","Eligible for Free or Reduced-Price Meals",11,3.9
"Marlborough School District","=""0790011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",1289,24.2
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",368,16.8
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",128,9.4
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",15,5.6
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",102,13.6
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",287,14.2
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible for Free or Reduced-Price Meals",53,19.3
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",1551,19.3
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",19,7.4
"New Hartford School District","=""0920011""","Eligible for Free or Reduced-Price Meals","*","*"
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",2437,15.1
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",559,18.2
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",109,14.6
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",105,12.0
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",20,7.0
"Norfolk School District","=""0980011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",65,21.2
"North Canaan School District","=""1000011""","Eligible for Free or Reduced-Price Meals","*","*"
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",21,5.3
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",18,11.5
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",601,12.6
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",114,18.8
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",298,11.0
"Odyssey Community School District","=""2630013""","Eligible for Free or Reduced-Price Meals","*","*"
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",14,6.7
"Orange School District","=""1070011""","Eligible for Free or Reduced-Price Meals","*","*"
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",11,6.2
"Park City Prep Charter School District","=""2830013""","Eligible for Free or Reduced-Price Meals",88,64.2
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",118,12.6
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",60,9.8
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",62,13.7
"Pomfret School District","=""1120011""","Eligible for Free or Reduced-Price Meals","*","*"
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",23,11.9
"Preston School District","=""1140011""","Eligible for Free or Reduced-Price Meals","*","*"
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",110,15.9
"Redding School District","=""1170011""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",11,14.7
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",25,27.5
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",15,20.3
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",11,9.4
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",12,12.2
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",28,22.8
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",17,13.0
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",25,29.4
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",12,26.1
