"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",7,11.1
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",22,10.0
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",964,18.9
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",148,9.0
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",20,5.1
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",74,14.2
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",40,13.9
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",249,12.6
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",62,6.0
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",27,6.0
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",42,6.5
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",14,7.6
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",66,4.8
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",96,12.2
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",228,10.3
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",28,8.4
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",385,15.8
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",3514,18.7
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",151,12.6
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",45,7.7
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",10,6.6
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",6,3.2
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",486,13.5
"Mansfield School District","=""0780011""","Eligible for Free or Reduced-Price Meals",12,3.8
"Marlborough School District","=""0790011""","Eligible for Free or Reduced-Price Meals","*","*"
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",762,13.2
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",255,11.2
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",152,10.8
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",10,3.4
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",73,8.4
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",249,11.8
